Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]  70.00-71.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  71.00-72.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  72.00-73.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  73.00-74.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  74.00-75.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  75.00-76.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  76.00-77.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  77.00-78.00  sec  11.4 MBytes  11.4 MBytes/sec  1456
[  4]  78.00-79.00  sec  11.5 MBytes  11.5 MBytes/sec  1469
[  4]  79.00-80.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  80.00-81.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  81.00-82.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  82.00-83.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  83.00-84.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  84.00-85.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  85.00-86.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  86.00-87.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
