Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4] 170.00-171.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 171.00-172.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 172.00-173.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 173.00-174.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 174.00-175.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 175.00-176.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 176.00-177.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 177.00-178.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 178.00-179.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 179.00-180.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 180.00-181.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 181.00-182.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 182.00-183.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 183.00-184.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 184.00-185.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 185.00-186.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 186.00-187.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 187.00-188.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 188.00-189.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 189.00-190.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 190.00-191.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 191.00-192.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 192.00-193.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 193.00-194.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 194.00-195.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 195.00-196.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 196.00-197.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 197.00-198.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 198.00-199.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 199.00-200.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 200.00-201.00 sec  11.4 MBytes  11.4 MBytes/sec  1464
[  4] 201.00-202.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 202.00-203.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 203.00-204.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 204.00-205.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 205.00-206.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 206.00-207.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 207.00-208.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 208.00-209.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 209.00-210.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 210.00-211.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 211.00-212.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 212.00-213.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 213.00-214.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 214.00-215.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 215.00-216.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 216.00-217.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 217.00-218.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 218.00-219.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 219.00-220.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 220.00-221.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 221.00-222.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 222.00-223.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 223.00-224.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 224.00-225.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 225.00-226.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 226.00-227.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 227.00-228.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 228.00-229.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 229.00-230.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 230.00-231.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 231.00-232.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 232.00-233.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 233.00-234.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 234.00-235.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 235.00-236.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 236.00-237.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 237.00-238.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 238.00-239.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 239.00-240.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 240.00-241.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 241.00-242.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 242.00-243.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 243.00-244.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 244.00-245.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 245.00-246.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 246.00-247.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 247.00-248.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 248.00-249.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 249.00-250.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 250.00-251.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 251.00-252.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 252.00-253.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 253.00-254.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 254.00-255.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 255.00-256.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 256.00-257.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 257.00-258.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 258.00-259.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 259.00-260.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 260.00-261.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 261.00-262.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 262.00-263.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 263.00-264.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 264.00-265.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 265.00-266.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 266.00-267.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 267.00-268.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 268.00-269.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 269.00-270.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 270.00-271.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 271.00-272.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 272.00-273.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 273.00-274.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 274.00-275.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 275.00-276.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 276.00-277.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 277.00-278.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 278.00-279.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 279.00-280.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 280.00-281.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 281.00-282.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 282.00-283.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 283.00-284.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 284.00-285.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 285.00-286.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 286.00-287.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 287.00-288.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 288.00-289.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 289.00-290.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 290.00-291.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 291.00-292.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 292.00-293.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 293.00-294.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 294.00-295.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 295.00-296.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 296.00-297.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 297.00-298.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 298.00-299.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 299.00-300.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 300.00-301.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 301.00-302.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 302.00-303.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 303.00-304.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 304.00-305.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 305.00-306.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 306.00-307.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 307.00-308.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 308.00-309.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 309.00-310.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 310.00-311.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 311.00-312.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 312.00-313.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 313.00-314.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 314.00-315.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 315.00-316.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 316.00-317.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 317.00-318.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 318.00-319.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 319.00-320.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 320.00-321.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 321.00-322.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 322.00-323.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 323.00-324.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 324.00-325.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 325.00-326.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 326.00-327.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 327.00-328.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 328.00-329.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 329.00-330.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 330.00-331.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 331.00-332.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 332.00-333.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 333.00-334.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 334.00-335.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 335.00-336.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 336.00-337.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 337.00-338.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 338.00-339.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 339.00-340.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 340.00-341.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 341.00-342.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 342.00-343.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 343.00-344.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 344.00-345.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 345.00-346.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 346.00-347.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 347.00-348.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 348.00-349.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 349.00-435.63 sec  8.00 KBytes  0.00 MBytes/sec  1
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.63 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.63-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.64 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.64-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.65 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.65-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.66 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.66-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.67 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.67-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-435.68 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 435.68-436.00 sec  3.84 MBytes  12.0 MBytes/sec  492
[  4] 436.00-437.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 437.00-438.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 438.00-439.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 439.00-440.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 440.00-441.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 441.00-442.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 442.00-443.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 443.00-444.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 444.00-445.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 445.00-446.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 446.00-447.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 447.00-448.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 448.00-449.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 449.00-450.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 450.00-451.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 451.00-452.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 452.00-453.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 453.00-454.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 454.00-455.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 455.00-456.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 456.00-457.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 457.00-458.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 458.00-459.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 459.00-460.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 460.00-461.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 461.00-462.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 462.00-463.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 463.00-464.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 464.00-465.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 465.00-466.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 466.00-467.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 467.00-468.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 468.00-469.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 469.00-470.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 470.00-473.92 sec  8.00 KBytes  0.00 MBytes/sec  1
[  4] 473.92-473.93 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 473.93-473.93 sec  0.00 Bytes  0.00 MBytes/sec  0
[  4] 473.93-474.00 sec  1.03 MBytes  13.9 MBytes/sec  132
[  4] 474.00-475.00 sec  11.4 MBytes  11.4 MBytes/sec  1464
[  4] 475.00-476.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 476.00-477.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 477.00-478.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 478.00-479.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 479.00-480.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 480.00-481.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 481.00-482.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 482.00-483.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 483.00-484.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 484.00-485.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 485.00-486.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 486.00-487.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 487.00-488.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 488.00-489.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 489.00-490.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 490.00-490.40 sec  4.54 MBytes  11.4 MBytes/sec  582
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-490.40 sec  4.46 GBytes  9.31 MBytes/sec  0.000 ms  0/584546 (0%)
[  4] Sent 584546 datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 61393 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  10.5 MBytes  10.5 MBytes/sec  1345
[  4]   1.00-2.00   sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4]   2.00-3.00   sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]   3.00-4.00   sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]   4.00-4.40   sec  4.61 MBytes  11.4 MBytes/sec  591
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-4.40   sec  49.4 MBytes  11.2 MBytes/sec  0.000 ms  0/6322 (0%)
[  4] Sent 6322 datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140  --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 59426 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth
[  4]   0.00-1.00   sec  10.0 MBytes  9.99 MBytes/sec
